filename,width,height,class,xmin,ymin,xmax,ymax
24-18-_jpg.rf.6743f33190bd4cd1c5726eaf95bb703c.jpg,640,640,datang,82,319,608,613
sama-sama-13-_jpg.rf.67538c5ed5c11e9dae029c3cf8d84400.jpg,640,640,sama-sama,11,340,600,640
buruk-46-_jpg.rf.67313cba1751499cf6b9aa9fffcfd041.jpg,640,640,buruk,232,254,539,467
kakek-8-_jpg.rf.673451fb034a9e0caff9f5deab2b5f20.jpg,640,640,kakek,83,320,523,618
kakek-20-_jpg.rf.673d489f53a984c7525a20c262c7583b.jpg,640,640,kakek,0,29,333,430
0-8-_jpg.rf.675bb7333f2eab6595dded3cd1baf485.jpg,640,640,telpon,73,276,287,466
telepon-13-_jpg.rf.676008dea5f7faf0ef5608308bab4c64.jpg,640,640,telpon,24,0,455,408
22_jpg.rf.675ef84694cc8311df8065fcaa375daa.jpg,640,640,takut,0,59,361,566
11_jpg.rf.67740f36f5e85d929529d7b402e5b71c.jpg,640,640,teman,0,157,370,598
19_jpg.rf.6768c9500ef0bc7aa8a6fe8555ee9833.jpg,640,640,aku,61,195,640,640
10-2-_jpg.rf.67626c66025be0e19125b3d077e7cd26.jpg,640,640,mendengar,197,49,640,640
0_jpg.rf.675d69b55ee25f63ecf01bff833aff61.jpg,640,640,tolong,30,282,640,610
mendengar-23-_jpg.rf.6777a0e6a878fdcd7d58279969624384.jpg,640,640,mendengar,2,124,373,640
9-7-_jpg.rf.677e3960505fe70569d5575eaac1f4af.jpg,640,640,takut,251,357,569,640
lupa-11-_jpg.rf.67961b3ae557870748ac5f399f2a3521.jpg,640,640,lupa,112,77,527,596
senang-24-_jpg.rf.67594da648e756ce5f90640429855922.jpg,640,640,senang,198,0,640,614
10-2-_jpg.rf.67737b227f1bb4f03bbf0fe3655133a8.jpg,640,640,tolong,0,0,520,640
1_jpg.rf.67a5feb55aa5fe5bea0a51b14e0f6699.jpg,640,640,sedih,0,0,640,503
sedih-22-_jpg.rf.67a915f7a7a016e4881f51935b940877.jpg,640,640,sedih,125,271,425,611
24_jpg.rf.678a570ef016dc481d075bc13f5d9e73.jpg,640,640,senang,32,163,620,586
17-44-_jpg.rf.67b5058a142cc77e6fc90b3977da56f7.jpg,640,640,mendengar,108,207,564,514
8-1-_jpg.rf.67be6d2c0f1d65b5df8b29287c03e4da.jpg,640,640,adik,215,123,640,640
16_jpg.rf.67bc2019cdfc88a6f530577de26275d9.jpg,640,640,teman,116,370,517,640
16_jpg.rf.67a5a89863771e538976f1c40bfc2a20.jpg,640,640,kakek,0,21,337,478
buruk-61-_jpg.rf.6745de30439384cdfd657bbe9c52c0cf.jpg,640,640,buruk,288,197,539,434
aku-41-_jpg.rf.67cfaaa8e9f3cd6093d7d01f1fb6d804.jpg,640,640,aku,150,45,640,547
18-1-_jpg.rf.67e82e2b408286fedd441313c858576a.jpg,640,640,sama-sama,210,16,543,253
